id,name,country_name
1,Alaska,United States
2,Hawaii,United States
3,Puerto Rico,United States
4,U.S. Virgin Islands,United States
5,U.S. Pacific Trust Territories and Possessions,United States
11,Connecticut,United States
12,Maine,United States
13,Massachusetts,United States
14,New Hampshire,United States
15,Rhode Island,United States
16,Vermont,United States
21,New Jersey,United States
22,New York,United States
23,Pennsylvania,United States
31,Delaware,United States
32,District of Columbia,United States
33,Florida,United States
34,Georgia,United States
35,Maryland,United States
36,North Carolina,United States
37,South Carolina,United States
38,Virginia,United States
39,West Virginia,United States
41,Illinois,United States
42,Indiana,United States
43,Michigan,United States
44,Ohio,United States
45,Wisconsin,United States
51,Alabama,United States
52,Kentucky,United States
53,Mississippi,United States
54,Tennessee,United States
61,Iowa,United States
62,Kansas,United States
63,Minnesota,United States
64,Missouri,United States
65,Nebraska,United States
66,North Dakota,United States
67,South Dakota,United States
71,Arkansas,United States
72,Louisiana,United States
73,Oklahoma,United States
74,Texas,United States
81,Arizona,United States
82,Colorado,United States
83,Idaho,United States
84,Montana,United States
85,Nevada,United States
86,New Mexico,United States
87,Utah,United States
88,Wyoming,United States
91,California,United States
92,Oregon,United States
93,Washington,United States
106,Belize,Belize
110,Costa Rica,Costa Rica
118,El Salvador,El Salvador
127,Guatemala,Guatemala
131,Honduras,Honduras
148,Mexico,Mexico
153,Nicaragua,Nicaragua
160,Panama Canal Zone,Panama
162,Panama,Panama
174,San Andres Island,Colombia
202,Anguilla,Anguilla
204,Bahamas,The Bahamas
205,Barbados,Barbados
206,Antigua and Barbuda,Antigua and Barbuda
207,Bermuda,Bermuda
209,Carriacou,Carriacou
219,Cuba,Cuba
221,Dominica,Dominica
224,Dominican Republic,Dominican Republic
233,Cayman Islands,Cayman Islands
234,Grand Turk,Turks and Caicos Islands
235,Guadeloupe,Guadeloupe
236,Saint Martin,Saint Martin
237,Saint Barthelemy,Saint Barthelemy
238,Haiti,Haiti
243,Jamaica,Jamaica
252,Martinique,Martinique
256,Montserrat,Montserrat
257,Mustique,Saint Vincent and the Grenadines
259,Netherlands Antilles,Netherlands Antilles
260,"Bonaire, Sint Eustatius, and Saba","Bonaire, Sint Eustatius, and Saba"
261,St. Kitts and Nevis - UK,Saint Kitts and Nevis - UK
262,Curacao,Curacao
264,Sint Maarten,Sint Maarten
267,Providenciales,Turks and Caicos Islands
268,Puerto Rico,Puerto Rico
273,Grenada and South Grenadines,Grenada
274,Antigua and Barbuda - UK,Antigua and Barbuda - UK
275,St. Kitts and Nevis,Saint Kitts and Nevis
276,St. Lucia,Saint Lucia
277,Aruba,Aruba
279,St. Vincent and North Grenadines,Saint Vincent and the Grenadines
280,Trinidad and Tobago,Trinidad and Tobago
281,Turks and Caicos Islands,Turks and Caicos Islands
282,British Virgin Islands,British Virgin Islands
283,U.S. Virgin Islands,Virgin Islands
303,Argentina,Argentina
312,Bolivia,Bolivia
316,Brazil,Brazil
